1.000000000000000444e+00,8.849210822598515547e-01,8.775130307158267584e-01,4.793059197967570323e-02,1.923548758627547858e-02,7.787799399996435668e-01,7.368030881944604982e-01,8.922045061903834950e-01,1.923548758627547858e-02,6.062548663726120834e-02
8.849210822598515547e-01,9.999999999999994449e-01,9.204109524514393348e-01,7.265860975793918264e-02,2.211248934415832243e-02,8.263938705413373942e-01,8.032711545197999126e-01,9.016696346674319962e-01,2.211248934415832243e-02,8.577610179266018098e-02
8.775130307158267584e-01,9.204109524514393348e-01,1.000000000000001110e+00,3.843794843909148495e-02,1.169797671745081633e-02,7.962919917522200963e-01,8.385630843180904570e-01,8.049415428290513930e-01,1.169797671745081633e-02,4.537738045080438182e-02
4.793059197967570323e-02,7.265860975793918264e-02,3.843794843909148495e-02,9.999999999999998890e-01,3.040300250556246184e-02,1.230914909793327239e-01,5.264483794214920576e-02,8.058229640253801451e-02,3.040300250556246184e-02,9.965563318429555839e-02
1.923548758627547858e-02,2.211248934415832243e-02,1.169797671745081633e-02,3.040300250556246184e-02,9.999999999999998890e-01,4.116585999523879325e-02,1.344471357482477335e-02,3.065492128987213488e-02,9.999999999999998890e-01,1.794591891041980580e-01
7.787799399996435668e-01,8.263938705413373942e-01,7.962919917522200963e-01,1.230914909793327239e-01,4.116585999523879325e-02,1.000000000000000000e+00,7.646555281704102702e-01,8.455943246644704869e-01,4.116585999523879325e-02,9.341609898779203169e-02
7.368030881944604982e-01,8.032711545197999126e-01,8.385630843180904570e-01,5.264483794214920576e-02,1.344471357482477335e-02,7.646555281704102702e-01,9.999999999999995559e-01,6.904248749404294783e-01,1.344471357482477335e-02,4.237440301507677809e-02
8.922045061903834950e-01,9.016696346674319962e-01,8.049415428290513930e-01,8.058229640253801451e-02,3.065492128987213488e-02,8.455943246644704869e-01,6.904248749404294783e-01,9.999999999999997780e-01,3.065492128987213488e-02,1.010759425078300022e-01
1.923548758627547858e-02,2.211248934415832243e-02,1.169797671745081633e-02,3.040300250556246184e-02,9.999999999999998890e-01,4.116585999523879325e-02,1.344471357482477335e-02,3.065492128987213488e-02,9.999999999999998890e-01,1.794591891041980580e-01
6.062548663726120834e-02,8.577610179266018098e-02,4.537738045080438182e-02,9.965563318429555839e-02,1.794591891041980580e-01,9.341609898779203169e-02,4.237440301507677809e-02,1.010759425078300022e-01,1.794591891041980580e-01,1.000000000000000000e+00
